item_id,store_id,average_daily_sales,maximum_daily_sales,average_lead_time,maximum_lead_time,safety_stock,reorder_point
HOBBIES_1_109,CA_1,0.45,4,7,14,52.82,56.0
HOBBIES_1_110,CA_1,0.19,5,7,14,68.68,70.0
HOBBIES_1_111,CA_1,0.5,12,7,14,164.51,168.0
HOBBIES_1_112,CA_1,0.1,4,7,14,55.27,56.0
HOBBIES_1_113,CA_1,0.1,8,7,14,111.32,112.0
HOBBIES_1_114,CA_1,0.21,6,7,14,82.51,84.0
HOBBIES_1_115,CA_1,0.49,26,7,14,360.58,364.0
HOBBIES_1_116,CA_1,0.28,6,7,14,82.02,84.0
HOBBIES_1_117,CA_1,0.2,3,7,14,40.58,42.0
HOBBIES_1_118,CA_1,0.16,3,7,14,40.89,42.0
HOBBIES_1_119,CA_1,0.43,15,7,14,207.02,210.0
HOBBIES_1_120,CA_1,0.33,5,7,14,67.72,70.0
HOBBIES_1_121,CA_1,0.37,24,7,14,333.39,336.0
HOBBIES_1_122,CA_1,0.57,21,7,14,289.98,294.0
HOBBIES_1_123,CA_1,0.54,7,7,14,94.24,98.0
HOBBIES_1_124,CA_1,0.72,9,7,14,120.99,126.0
HOBBIES_1_125,CA_1,0.13,6,7,14,83.1,84.0
HOBBIES_1_126,CA_1,0.37,6,7,14,81.43,84.0
HOBBIES_1_127,CA_1,0.63,13,7,14,177.56,182.0
HOBBIES_1_128,CA_1,0.21,4,7,14,54.5,56.0
HOBBIES_1_129,CA_1,0.62,6,7,14,79.66,84.0
HOBBIES_1_130,CA_1,1.05,13,7,14,174.62,182.0
HOBBIES_1_131,CA_1,0.73,24,7,14,330.92,336.0
HOBBIES_1_132,CA_1,1.02,7,7,14,90.85,98.0
HOBBIES_1_133,CA_1,0.3,4,7,14,53.93,56.0
HOBBIES_1_134,CA_1,4.15,26,7,14,334.92,364.0
HOBBIES_1_135,CA_1,0.1,3,7,14,41.29,42.0
HOBBIES_1_136,CA_1,0.07,3,7,14,41.54,42.0
HOBBIES_1_137,CA_1,0.59,6,7,14,79.84,84.0
HOBBIES_1_138,CA_1,0.11,3,7,14,41.23,42.0
HOBBIES_1_139,CA_1,0.39,12,7,14,165.3,168.0
HOBBIES_1_140,CA_1,0.35,17,7,14,235.58,238.0
HOBBIES_1_141,CA_1,1.0,8,7,14,104.97,112.0
HOBBIES_1_142,CA_1,1.41,24,7,14,326.15,336.0
HOBBIES_1_143,CA_1,0.41,6,7,14,81.11,84.0
HOBBIES_1_144,CA_1,0.91,7,7,14,91.6,98.0
HOBBIES_1_145,CA_1,0.67,30,7,14,415.33,420.0
HOBBIES_1_146,CA_1,0.51,7,7,14,94.45,98.0
HOBBIES_1_147,CA_1,4.17,28,7,14,362.84,392.0
HOBBIES_1_148,CA_1,1.17,9,7,14,117.81,126.0
HOBBIES_1_149,CA_1,0.75,6,7,14,78.74,84.0
HOBBIES_1_150,CA_1,1.83,20,7,14,267.16,280.0
HOBBIES_1_151,CA_1,0.71,6,7,14,79.04,84.0
HOBBIES_1_152,CA_1,0.3,5,7,14,67.93,70.0
HOBBIES_1_153,CA_1,1.24,10,7,14,131.31,140.0
HOBBIES_1_154,CA_1,1.11,9,7,14,118.21,126.0
HOBBIES_1_155,CA_1,1.5,12,7,14,157.49,168.0
HOBBIES_1_156,CA_1,0.29,15,7,14,208.0,210.0
HOBBIES_1_157,CA_1,0.7,5,7,14,65.12,70.0
HOBBIES_1_158,CA_1,1.08,14,7,14,188.43,196.0
HOBBIES_1_159,CA_1,1.1,11,7,14,146.29,154.0
HOBBIES_1_160,CA_1,0.38,4,7,14,53.35,56.0
HOBBIES_1_161,CA_1,0.33,15,7,14,207.68,210.0
HOBBIES_1_162,CA_1,0.13,5,7,14,69.07,70.0
HOBBIES_1_163,CA_1,0.34,4,7,14,53.62,56.0
HOBBIES_1_164,CA_1,1.0,7,7,14,91.03,98.0
HOBBIES_1_165,CA_1,0.26,4,7,14,54.18,56.0
HOBBIES_1_166,CA_1,0.96,9,7,14,119.25,126.0
HOBBIES_1_167,CA_1,0.56,24,7,14,332.11,336.0
HOBBIES_1_168,CA_1,0.18,4,7,14,54.72,56.0
HOBBIES_1_169,CA_1,4.77,56,7,14,750.58,784.0
HOBBIES_1_170,CA_1,0.17,3,7,14,40.84,42.0
HOBBIES_1_171,CA_1,0.2,5,7,14,68.62,70.0
HOBBIES_1_172,CA_1,0.73,10,7,14,134.91,140.0
HOBBIES_1_173,CA_1,0.47,6,7,14,80.7,84.0
HOBBIES_1_174,CA_1,0.07,3,7,14,41.5,42.0
HOBBIES_1_175,CA_1,0.19,5,7,14,68.64,70.0
HOBBIES_1_176,CA_1,0.17,4,7,14,54.81,56.0
HOBBIES_1_177,CA_1,1.07,10,7,14,132.52,140.0
HOBBIES_1_178,CA_1,8.26,79,7,14,1048.16,1106.0
HOBBIES_1_179,CA_1,1.01,9,7,14,118.96,126.0
HOBBIES_1_180,CA_1,0.14,3,7,14,41.02,42.0
HOBBIES_1_181,CA_1,0.06,2,7,14,27.57,28.0
HOBBIES_1_183,CA_1,0.36,7,7,14,95.46,98.0
HOBBIES_1_184,CA_1,0.17,3,7,14,40.82,42.0
HOBBIES_1_185,CA_1,0.32,12,7,14,165.73,168.0
HOBBIES_1_186,CA_1,0.16,8,7,14,110.86,112.0
HOBBIES_1_187,CA_1,0.48,9,7,14,122.66,126.0
HOBBIES_1_188,CA_1,0.12,3,7,14,41.19,42.0
HOBBIES_1_189,CA_1,6.44,75,7,14,1004.92,1050.0
HOBBIES_1_190,CA_1,0.07,4,7,14,55.48,56.0
HOBBIES_1_191,CA_1,0.06,4,7,14,55.56,56.0
HOBBIES_1_192,CA_1,0.08,4,7,14,55.47,56.0
HOBBIES_1_193,CA_1,0.46,6,7,14,80.8,84.0
HOBBIES_1_194,CA_1,1.6,11,7,14,142.79,154.0
HOBBIES_1_195,CA_1,0.65,5,7,14,65.47,70.0
HOBBIES_1_197,CA_1,0.15,3,7,14,40.94,42.0
HOBBIES_1_198,CA_1,0.67,6,7,14,79.28,84.0
HOBBIES_1_199,CA_1,0.2,5,7,14,68.61,70.0
HOBBIES_1_200,CA_1,0.65,5,7,14,65.47,70.0
HOBBIES_1_201,CA_1,1.29,16,7,14,214.95,224.0
HOBBIES_1_202,CA_1,1.29,22,7,14,298.99,308.0
HOBBIES_1_203,CA_1,0.26,5,7,14,68.15,70.0
HOBBIES_1_204,CA_1,0.18,6,7,14,82.72,84.0
HOBBIES_1_205,CA_1,0.1,3,7,14,41.29,42.0
HOBBIES_1_206,CA_1,0.41,10,7,14,137.1,140.0
HOBBIES_1_207,CA_1,0.17,3,7,14,40.78,42.0
HOBBIES_1_208,CA_1,0.83,9,7,14,120.16,126.0
HOBBIES_1_209,CA_1,3.33,43,7,14,578.67,602.0
HOBBIES_1_210,CA_1,0.18,7,7,14,96.77,98.0
HOBBIES_1_211,CA_1,0.51,12,7,14,164.41,168.0
HOBBIES_1_212,CA_1,0.06,3,7,14,41.55,42.0
HOBBIES_1_213,CA_1,0.7,7,7,14,93.07,98.0
HOBBIES_1_214,CA_1,0.12,3,7,14,41.15,42.0
HOBBIES_1_215,CA_1,0.91,7,7,14,91.62,98.0
HOBBIES_1_216,CA_1,1.12,13,7,14,174.18,182.0
HOBBIES_1_217,CA_1,0.11,4,7,14,55.26,56.0
HOBBIES_1_218,CA_1,0.17,4,7,14,54.82,56.0
HOBBIES_1_219,CA_1,0.1,3,7,14,41.3,42.0
HOBBIES_1_220,CA_1,0.39,9,7,14,123.27,126.0
HOBBIES_1_221,CA_1,0.31,6,7,14,81.84,84.0
HOBBIES_1_223,CA_1,0.39,24,7,14,333.26,336.0
HOBBIES_1_224,CA_1,0.2,6,7,14,82.63,84.0
HOBBIES_1_225,CA_1,0.4,4,7,14,53.22,56.0
HOBBIES_1_226,CA_1,0.76,6,7,14,78.71,84.0
HOBBIES_1_227,CA_1,0.31,6,7,14,81.81,84.0
HOBBIES_1_228,CA_1,0.95,6,7,14,77.32,84.0
HOBBIES_1_229,CA_1,0.11,4,7,14,55.2,56.0
HOBBIES_1_230,CA_1,0.12,4,7,14,55.17,56.0
HOBBIES_1_231,CA_1,0.57,7,7,14,94.03,98.0
HOBBIES_1_232,CA_1,0.47,24,7,14,332.7,336.0
HOBBIES_1_233,CA_1,3.31,35,7,14,466.85,490.0
HOBBIES_1_234,CA_1,0.9,48,7,14,665.71,672.0
HOBBIES_1_235,CA_1,0.6,7,7,14,93.8,98.0
HOBBIES_1_236,CA_1,4.16,44,7,14,586.91,616.0
HOBBIES_1_237,CA_1,0.93,6,7,14,77.47,84.0
HOBBIES_1_238,CA_1,0.46,5,7,14,66.78,70.0
HOBBIES_1_239,CA_1,0.44,8,7,14,108.9,112.0
HOBBIES_1_240,CA_1,0.54,6,7,14,80.22,84.0
HOBBIES_1_241,CA_1,0.8,13,7,14,176.43,182.0
HOBBIES_1_242,CA_1,2.01,14,7,14,181.95,196.0
HOBBIES_1_243,CA_1,0.15,3,7,14,40.98,42.0
HOBBIES_1_244,CA_1,5.99,65,7,14,868.1,910.0
HOBBIES_1_245,CA_1,0.1,3,7,14,41.3,42.0
HOBBIES_1_246,CA_1,0.29,6,7,14,81.99,84.0
HOBBIES_1_247,CA_1,0.4,7,7,14,95.21,98.0
HOBBIES_1_248,CA_1,1.88,32,7,14,434.81,448.0
HOBBIES_1_249,CA_1,0.94,7,7,14,91.45,98.0
HOBBIES_1_250,CA_1,0.17,4,7,14,54.8,56.0
HOBBIES_1_251,CA_1,0.16,6,7,14,82.88,84.0
HOBBIES_1_252,CA_1,0.43,14,7,14,192.99,196.0
HOBBIES_1_253,CA_1,0.27,7,7,14,96.1,98.0
HOBBIES_1_254,CA_1,7.86,112,7,14,1512.96,1568.0
HOBBIES_1_255,CA_1,0.46,14,7,14,192.78,196.0
HOBBIES_1_256,CA_1,8.06,66,7,14,867.58,924.0
HOBBIES_1_257,CA_1,0.17,3,7,14,40.83,42.0
HOBBIES_1_258,CA_1,1.4,9,7,14,116.19,126.0
HOBBIES_1_259,CA_1,0.24,4,7,14,54.34,56.0
HOBBIES_1_260,CA_1,0.48,5,7,14,66.63,70.0
HOBBIES_1_261,CA_1,5.27,73,7,14,985.13,1022.0
HOBBIES_1_262,CA_1,0.2,4,7,14,54.59,56.0
HOBBIES_1_263,CA_1,0.17,5,7,14,68.78,70.0
HOBBIES_1_264,CA_1,0.46,4,7,14,52.8,56.0
HOBBIES_1_265,CA_1,0.26,6,7,14,82.2,84.0
HOBBIES_1_266,CA_1,0.59,6,7,14,79.86,84.0
HOBBIES_1_267,CA_1,0.1,10,7,14,139.31,140.0
HOBBIES_1_268,CA_1,9.88,294,7,14,4046.83,4116.0
HOBBIES_1_269,CA_1,0.08,4,7,14,55.41,56.0
HOBBIES_1_270,CA_1,0.59,6,7,14,79.86,84.0
HOBBIES_1_271,CA_1,0.19,4,7,14,54.68,56.0
HOBBIES_1_272,CA_1,0.08,3,7,14,41.45,42.0
HOBBIES_1_273,CA_1,0.25,3,7,14,40.28,42.0
HOBBIES_1_274,CA_1,0.07,4,7,14,55.54,56.0
HOBBIES_1_275,CA_1,0.6,6,7,14,79.79,84.0
HOBBIES_1_276,CA_1,0.75,5,7,14,64.73,70.0
HOBBIES_1_277,CA_1,0.86,15,7,14,203.97,210.0
HOBBIES_1_278,CA_1,6.95,115,7,14,1561.36,1610.0
HOBBIES_1_279,CA_1,0.2,7,7,14,96.62,98.0
HOBBIES_1_280,CA_1,0.88,7,7,14,91.82,98.0
HOBBIES_1_281,CA_1,0.46,5,7,14,66.76,70.0
HOBBIES_1_282,CA_1,0.61,6,7,14,79.75,84.0
HOBBIES_1_283,CA_1,0.11,3,7,14,41.25,42.0
HOBBIES_1_284,CA_1,0.12,3,7,14,41.14,42.0
HOBBIES_1_285,CA_1,0.07,2,7,14,27.52,28.0
HOBBIES_1_286,CA_1,3.48,48,7,14,647.67,672.0
HOBBIES_1_287,CA_1,0.83,7,7,14,92.22,98.0
HOBBIES_1_288,CA_1,4.14,55,7,14,740.99,770.0
HOBBIES_1_289,CA_1,0.27,6,7,14,82.09,84.0
HOBBIES_1_290,CA_1,0.24,5,7,14,68.31,70.0
HOBBIES_1_292,CA_1,0.24,5,7,14,68.32,70.0
HOBBIES_1_293,CA_1,0.34,6,7,14,81.65,84.0
HOBBIES_1_294,CA_1,0.12,4,7,14,55.19,56.0
HOBBIES_1_295,CA_1,6.74,73,7,14,974.82,1022.0
HOBBIES_1_296,CA_1,0.57,6,7,14,79.99,84.0
HOBBIES_1_297,CA_1,0.99,7,7,14,91.1,98.0
HOBBIES_1_298,CA_1,0.84,8,7,14,106.09,112.0
HOBBIES_1_299,CA_1,0.13,10,7,14,139.08,140.0
HOBBIES_1_300,CA_1,1.34,11,7,14,144.63,154.0
HOBBIES_1_301,CA_1,0.81,8,7,14,106.33,112.0
HOBBIES_1_302,CA_1,0.04,2,7,14,27.71,28.0
HOBBIES_1_303,CA_1,0.34,6,7,14,81.63,84.0
HOBBIES_1_304,CA_1,0.13,6,7,14,83.12,84.0
HOBBIES_1_305,CA_1,0.2,6,7,14,82.59,84.0
HOBBIES_1_306,CA_1,0.2,4,7,14,54.6,56.0
HOBBIES_1_307,CA_1,0.13,2,7,14,27.08,28.0
HOBBIES_1_308,CA_1,0.41,7,7,14,95.1,98.0
HOBBIES_1_309,CA_1,0.68,7,7,14,93.21,98.0
HOBBIES_1_310,CA_1,0.55,4,7,14,52.18,56.0
HOBBIES_1_311,CA_1,0.12,4,7,14,55.16,56.0
HOBBIES_1_312,CA_1,4.26,85,7,14,1160.18,1190.0
HOBBIES_1_313,CA_1,1.08,10,7,14,132.45,140.0
HOBBIES_1_314,CA_1,0.12,4,7,14,55.14,56.0
HOBBIES_1_315,CA_1,0.22,8,7,14,110.43,112.0
HOBBIES_1_316,CA_1,0.86,18,7,14,245.96,252.0
HOBBIES_1_317,CA_1,0.88,6,7,14,77.87,84.0
HOBBIES_1_318,CA_1,0.15,6,7,14,82.94,84.0
HOBBIES_1_319,CA_1,3.01,58,7,14,790.94,812.0
HOBBIES_1_320,CA_1,0.97,10,7,14,133.21,140.0
HOBBIES_1_321,CA_1,1.25,9,7,14,117.24,126.0
HOBBIES_1_322,CA_1,0.13,2,7,14,27.07,28.0
HOBBIES_1_323,CA_1,1.39,8,7,14,102.29,112.0
HOBBIES_1_324,CA_1,0.86,7,7,14,92.0,98.0
HOBBIES_1_325,CA_1,0.12,3,7,14,41.15,42.0
HOBBIES_1_326,CA_1,0.49,7,7,14,94.59,98.0
HOBBIES_1_327,CA_1,0.79,6,7,14,78.46,84.0
HOBBIES_1_328,CA_1,0.76,7,7,14,92.69,98.0
HOBBIES_1_329,CA_1,1.34,8,7,14,102.63,112.0
HOBBIES_1_330,CA_1,1.0,8,7,14,105.0,112.0
HOBBIES_1_331,CA_1,0.31,13,7,14,179.83,182.0
HOBBIES_1_332,CA_1,0.73,8,7,14,106.92,112.0
HOBBIES_1_333,CA_1,0.2,5,7,14,68.6,70.0
HOBBIES_1_334,CA_1,0.37,7,7,14,95.43,98.0
HOBBIES_1_335,CA_1,0.21,6,7,14,82.5,84.0
HOBBIES_1_336,CA_1,0.06,5,7,14,69.56,70.0
HOBBIES_1_337,CA_1,3.05,16,7,14,202.63,224.0
HOBBIES_1_338,CA_1,1.21,10,7,14,131.54,140.0
HOBBIES_1_339,CA_1,0.61,11,7,14,149.72,154.0
HOBBIES_1_340,CA_1,0.19,6,7,14,82.69,84.0
HOBBIES_1_341,CA_1,7.4,124,7,14,1684.22,1736.0
HOBBIES_1_342,CA_1,0.31,3,7,14,39.8,42.0
HOBBIES_1_343,CA_1,0.64,7,7,14,93.52,98.0
HOBBIES_1_344,CA_1,0.26,6,7,14,82.17,84.0
HOBBIES_1_345,CA_1,1.78,12,7,14,155.56,168.0
HOBBIES_1_346,CA_1,0.27,8,7,14,110.14,112.0
HOBBIES_1_347,CA_1,0.21,4,7,14,54.54,56.0
HOBBIES_1_348,CA_1,11.89,104,7,14,1372.78,1456.0
HOBBIES_1_349,CA_1,0.61,10,7,14,135.72,140.0
HOBBIES_1_350,CA_1,0.36,8,7,14,109.5,112.0
HOBBIES_1_351,CA_1,0.66,8,7,14,107.39,112.0
HOBBIES_1_352,CA_1,0.37,6,7,14,81.38,84.0
HOBBIES_1_353,CA_1,2.09,38,7,14,517.4,532.0
HOBBIES_1_354,CA_1,1.7,21,7,14,282.07,294.0
HOBBIES_1_355,CA_1,0.69,5,7,14,65.14,70.0
HOBBIES_1_356,CA_1,0.55,6,7,14,80.14,84.0
HOBBIES_1_357,CA_1,0.88,8,7,14,105.85,112.0
HOBBIES_1_358,CA_1,0.65,9,7,14,121.42,126.0
HOBBIES_1_359,CA_1,0.09,4,7,14,55.39,56.0
HOBBIES_1_360,CA_1,0.17,4,7,14,54.83,56.0
HOBBIES_1_361,CA_1,0.28,3,7,14,40.02,42.0
HOBBIES_1_362,CA_1,0.1,4,7,14,55.27,56.0
HOBBIES_1_363,CA_1,0.22,4,7,14,54.45,56.0
HOBBIES_1_364,CA_1,1.06,8,7,14,104.56,112.0
HOBBIES_1_365,CA_1,0.13,3,7,14,41.1,42.0
HOBBIES_1_366,CA_1,0.16,3,7,14,40.91,42.0
HOBBIES_1_367,CA_1,1.07,10,7,14,132.54,140.0
HOBBIES_1_368,CA_1,0.24,4,7,14,54.33,56.0
HOBBIES_1_369,CA_1,2.58,65,7,14,891.94,910.0
HOBBIES_1_370,CA_1,7.61,144,7,14,1962.7,2016.0
HOBBIES_1_371,CA_1,11.81,92,7,14,1205.32,1288.0
HOBBIES_1_372,CA_1,0.68,6,7,14,79.27,84.0
HOBBIES_1_373,CA_1,0.61,7,7,14,93.72,98.0
HOBBIES_1_374,CA_1,0.7,7,7,14,93.1,98.0
HOBBIES_1_375,CA_1,0.05,2,7,14,27.62,28.0
HOBBIES_1_376,CA_1,0.18,3,7,14,40.73,42.0
HOBBIES_1_377,CA_1,0.2,4,7,14,54.59,56.0
HOBBIES_1_378,CA_1,1.64,24,7,14,324.51,336.0
HOBBIES_1_379,CA_1,1.46,14,7,14,185.81,196.0
HOBBIES_1_380,CA_1,1.09,21,7,14,286.36,294.0
HOBBIES_1_381,CA_1,4.78,48,7,14,638.55,672.0
HOBBIES_1_382,CA_1,0.63,6,7,14,79.59,84.0
HOBBIES_1_383,CA_1,0.68,8,7,14,107.21,112.0
HOBBIES_1_384,CA_1,0.72,7,7,14,92.96,98.0
HOBBIES_1_385,CA_1,0.1,6,7,14,83.27,84.0
HOBBIES_1_386,CA_1,0.36,6,7,14,81.47,84.0
HOBBIES_1_387,CA_1,4.64,73,7,14,989.54,1022.0
HOBBIES_1_388,CA_1,0.77,8,7,14,106.61,112.0
HOBBIES_1_389,CA_1,0.11,4,7,14,55.22,56.0
HOBBIES_1_390,CA_1,0.27,3,7,14,40.11,42.0
HOBBIES_1_391,CA_1,0.14,3,7,14,41.04,42.0
HOBBIES_1_392,CA_1,0.38,7,7,14,95.32,98.0
HOBBIES_1_393,CA_1,0.18,4,7,14,54.72,56.0
HOBBIES_1_394,CA_1,0.76,8,7,14,106.69,112.0
HOBBIES_1_395,CA_1,0.2,6,7,14,82.62,84.0
HOBBIES_1_396,CA_1,0.11,6,7,14,83.23,84.0
HOBBIES_1_397,CA_1,0.56,9,7,14,122.1,126.0
HOBBIES_1_398,CA_1,5.65,86,7,14,1164.46,1204.0
HOBBIES_1_399,CA_1,0.49,7,7,14,94.56,98.0
HOBBIES_1_400,CA_1,1.78,30,7,14,407.53,420.0
HOBBIES_1_401,CA_1,0.12,5,7,14,69.15,70.0
HOBBIES_1_402,CA_1,0.07,5,7,14,69.52,70.0
HOBBIES_1_403,CA_1,0.25,3,7,14,40.23,42.0
HOBBIES_1_404,CA_1,5.64,69,7,14,926.53,966.0
HOBBIES_1_405,CA_1,0.18,3,7,14,40.71,42.0
HOBBIES_1_406,CA_1,0.17,6,7,14,82.82,84.0
HOBBIES_1_407,CA_1,1.35,10,7,14,130.54,140.0
HOBBIES_1_408,CA_1,1.52,78,7,14,1081.35,1092.0
HOBBIES_1_409,CA_1,0.95,7,7,14,91.38,98.0
HOBBIES_1_410,CA_1,0.28,4,7,14,54.02,56.0
HOBBIES_1_411,CA_1,0.41,6,7,14,81.11,84.0
HOBBIES_1_412,CA_1,0.46,7,7,14,94.76,98.0
HOBBIES_1_413,CA_1,0.67,6,7,14,79.34,84.0
HOBBIES_1_414,CA_1,0.39,5,7,14,67.28,70.0
HOBBIES_1_415,CA_1,0.99,8,7,14,105.06,112.0
